# scan = 10
# date = 11/8/2003
# time = 11:41:07 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 80 65 -.2 preset mcu 2
# builtin_command = scan s1 80 65 -.2 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
     65    67.1998      1.886      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9967     0.9966     0.0841    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     66    67.0000      1.876      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9964     0.9963     0.0877    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     67    66.8012      1.921      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9961     0.9960     0.0912    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     68    66.5994      1.882      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9958     0.9956     0.0948    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     69    66.4006      1.864      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9954     0.9953     0.0983    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     70    66.2018      1.902      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9951     0.9950     0.1019    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     71    66.0000      1.871      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9947     0.9946     0.1055    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     72    65.8002      1.820      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9944     0.9942     0.1090    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     73    65.6004      1.842      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9940     0.9939     0.1125    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     74    65.3996      1.887      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9936     0.9935     0.1161    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     75    65.2008      1.849      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9932     0.9931     0.1196    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     76    65.0020      1.851      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9928     0.9927     0.1231    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 64
# Center of Mass = 72.512925+/-12.826921
# Full Width Half-Maximum = 7.393235+/-4.266715
# 11:45:36 AM  11/8/2003   scan completed.
